cmtename,cmteid,other_id,name,similarity,party,state,chamber,type,last,cycle
RYAN FOR CONGRESS,C00330894,C00433524,Duncan D. Hunter,0.299607011,R,Calif.,House,,Hunter,2014
RYAN FOR CONGRESS,C00330894,C00460063,Billy Long,0.298766185,R,Mo.,House,,Long,2014
RYAN FOR CONGRESS,C00330894,C00435099,Bill Foster,0.298689402,D,Ill.,House,,Foster,2014
RYAN FOR CONGRESS,C00330894,C00462523,Trey Gowdy,0.298526989,R,S.C.,House,,Gowdy,2014
RYAN FOR CONGRESS,C00330894,C00370783,Phil Gingrey,0.297529641,R,Ga.,House,,Gingrey,2014
RYAN FOR CONGRESS,C00330894,C00477984,Chris Gibson,0.295963406,R,N.Y.,House,,Gibson,2014
RYAN FOR CONGRESS,C00330894,C00438697,Robert Latta,0.295916244,R,Ohio,House,,Latta,2014
RYAN FOR CONGRESS,C00330894,C00473736,Blake Farenthold,0.294802201,R,Texas,House,,Farenthold,2014
RYAN FOR CONGRESS,C00330894,C00454694,Marcia Fudge,0.294230415,D,Ohio,House,,Fudge,2014
RYAN FOR CONGRESS,C00330894,C00501254,Michelle Lujan Grisham,0.293355942,D,N.M.,House,,Lujan Grisham,2014
RYAN FOR CONGRESS,C00330894,C00307314,Earl Blumenauer,0.29247397,D,Ore.,House,,Blumenauer,2014
RYAN FOR CONGRESS,C00330894,C00445015,John Fleming,0.290207739,R,La.,House,HFC,Fleming,2014
RYAN FOR CONGRESS,C00330894,C00473272,Jeff Denham,0.290161958,R,Calif.,House,,Denham,2014
RYAN FOR CONGRESS,C00330894,C00499988,Tom Cotton,0.290020587,R,Ark.,House,,Cotton,2014
RYAN FOR CONGRESS,C00330894,C00482281,Rich Nugent,0.289998061,R,Fla.,House,,Nugent,2014
RYAN FOR CONGRESS,C00330894,C00273169,Carolyn Maloney,0.289671806,D,N.Y.,House,,"Maloney, C",2014
RYAN FOR CONGRESS,C00330894,C00283051,John Mica,0.289258315,R,Fla.,House,,Mica,2014
RYAN FOR CONGRESS,C00330894,C00451005,Richard Hanna,0.289185668,R,N.Y.,House,,Hanna,2014
RYAN FOR CONGRESS,C00330894,C00475145,Tom Marino,0.288079521,R,Pa.,House,,Marino,2014
RYAN FOR CONGRESS,C00330894,C00172619,Danny Davis,0.286841368,D,Ill.,House,,"Davis, Dan",2014
RYAN FOR CONGRESS,C00330894,C00457556,Mike Quigley,0.286369086,D,Ill.,House,,Quigley,2014
RYAN FOR CONGRESS,C00330894,C00345546,Rick Larsen,0.286191222,D,Wash.,House,,Larsen,2014
RYAN FOR CONGRESS,C00330894,C00445122,Lou Barletta,0.285881223,R,Pa.,House,,Barletta,2014
RYAN FOR CONGRESS,C00330894,C00383828,Michael Conaway,0.285449443,R,Texas,House,,Conaway,2014
RYAN FOR CONGRESS,C00330894,C00299404,Rodney Frelinghuysen,0.28535839,R,N.J.,House,,Frelinghuysen,2014
RYAN FOR CONGRESS,C00330894,C00466482,James Lankford,0.285104595,R,Okla.,House,,Lankford,2014
RYAN FOR CONGRESS,C00330894,C00462143,Martha Roby,0.28508439,R,Ala.,House,,Roby,2014
RYAN FOR CONGRESS,C00330894,C00477661,Jon Runyan,0.284582773,R,N.J.,House,,Runyan,2014
RYAN FOR CONGRESS,C00330894,C00502179,Mark Pocan,0.284392794,D,Wis.,House,,Pocan,2014
RYAN FOR CONGRESS,C00330894,C00379735,Tom Cole,0.284224545,R,Okla.,House,,Cole,2014
RYAN FOR CONGRESS,C00330894,C00266940,Sanford D. Bishop,0.283807569,D,Ga.,House,,"Bishop, S",2014
RYAN FOR CONGRESS,C00330894,C00412312,John Campbell,0.283774576,R,Calif.,House,,Campbell,2014
RYAN FOR CONGRESS,C00330894,C00236513,Eliot Engel,0.281984069,D,N.Y.,House,,Engel,2014
RYAN FOR CONGRESS,C00330894,C00116632,Hal Rogers,0.280922763,R,Ky.,House,,"Rogers, H",2014
RYAN FOR CONGRESS,C00330894,C00352849,Ander Crenshaw,0.280657198,R,Fla.,House,,Crenshaw,2014
RYAN FOR CONGRESS,C00330894,C00503094,Mark Meadows,0.280608862,R,N.C.,House,HFC,Meadows,2014
RYAN FOR CONGRESS,C00330894,C00508804,Kyrsten Sinema,0.28006056,D,Ariz.,House,,Sinema,2014
RYAN FOR CONGRESS,C00330894,C00371203,John Carter,0.279466393,R,Texas,House,,Carter,2014
RYAN FOR CONGRESS,C00330894,C00441014,Rob Wittman,0.279460604,R,Va.,House,,Wittman,2014
RYAN FOR CONGRESS,C00330894,C00343236,John Culberson,0.278928781,R,Texas,House,,Culberson,2014
RYAN FOR CONGRESS,C00330894,C00497115,Keith Rothfus,0.278688846,R,Pa.,House,HFC,Rothfus,2014
RYAN FOR CONGRESS,C00330894,C00510164,Scott Perry,0.278296096,R,Pa.,House,HFC,Perry,2014
RYAN FOR CONGRESS,C00330894,C00498345,Markwayne Mullin,0.278109447,R,Okla.,House,,Mullin,2014
RYAN FOR CONGRESS,C00330894,C00482737,Austin Scott,0.277893518,R,Ga.,House,,"Scott, A",2014
RYAN FOR CONGRESS,C00330894,C00498121,Roger Williams,0.277175317,R,Texas,House,,Williams,2014
RYAN FOR CONGRESS,C00330894,C00313247,Robert Aderholt,0.275673653,R,Ala.,House,,Aderholt,2014
RYAN FOR CONGRESS,C00330894,C00365593,Candice Miller,0.275378632,R,Mich.,House,,"Miller, C",2014
RYAN FOR CONGRESS,C00330894,C00497818,Brad Wenstrup,0.275173637,R,Ohio,House,,Wenstrup,2014
RYAN FOR CONGRESS,C00330894,C00450049,Paul Tonko,0.273797314,D,N.Y.,House,,Tonko,2014
RYAN FOR CONGRESS,C00330894,C00310896,Ruben Hinojosa,0.273057134,D,Texas,House,,Hinojosa,2014
RYAN FOR CONGRESS,C00330894,C00473132,David McKinley,0.273030567,R,W.Va.,House,,McKinley,2014
RYAN FOR CONGRESS,C00330894,C00463687,Scott Rigell,0.271316348,R,Va.,House,,Rigell,2014
RYAN FOR CONGRESS,C00330894,C00107003,Tom Petri,0.271130428,R,Wis.,House,,Petri,2014
RYAN FOR CONGRESS,C00330894,C00331496,Gary Miller,0.269812479,R,Calif.,House,,"Miller, G",2014
RYAN FOR CONGRESS,C00330894,C00331389,Lois Capps,0.269550023,D,Calif.,House,,Capps,2014
RYAN FOR CONGRESS,C00330894,C00481911,Daniel Webster,0.269242877,R,Fla.,House,,Webster,2014
RYAN FOR CONGRESS,C00330894,C00458679,Blaine Luetkemeyer,0.269184692,R,Mo.,House,,Luetkemeyer,2014
RYAN FOR CONGRESS,C00330894,C00437889,Gary Peters,0.268029371,D,Mich.,House,,"Peters, G",2014
RYAN FOR CONGRESS,C00330894,C00419630,John Yarmuth,0.267866938,D,Ky.,House,,Yarmuth,2014
RYAN FOR CONGRESS,C00330894,C00498634,Tammy Duckworth,0.267548919,D,Ill.,House,,Duckworth,2014
RYAN FOR CONGRESS,C00330894,C00257121,Bobby Rush,0.267516095,D,Ill.,House,,Rush,2014
RYAN FOR CONGRESS,C00330894,C00376673,Dutch Ruppersberger,0.266971977,D,Md.,House,,Ruppersberger,2014
RYAN FOR CONGRESS,C00330894,C00482307,Rob Woodall,0.266722584,R,Ga.,House,,Woodall,2014
